channel,h,var,coef,se,p,n
N,-2,MxW_T,0.6614203925977388,1.7108844334242554,0.6997460292248573,2563
N,-2,MxW_I,0.6232431430586964,0.9281866566166199,0.503226900042251,2563
N,-2,W_F,-5.787161481187885,1.4910493502789606,0.00017101942973315166,2563
N,-2,W_T,10.507206158521434,2.9897659658319786,0.0006242319617850112,2563
N,-2,W_I,-2.7331435187926747,1.2740356461545208,0.03396377645661468,2563
N,-2,infl_z,-3.287115442429657,2.3453056236997543,0.1636457961971939,2563
N,-2,gov_eff_z,-0.3527924057319781,4.468491724601122,0.9372041150193648,2563
N,-1,M_z,-1.031435410904366,0.7361479134681828,0.1637791249579372,2677
N,-1,MxW_F,-0.38503220521665305,0.513409939882957,0.45476446796199377,2677
N,-1,MxW_T,0.4359067300276991,0.916039094252422,0.6350462680068263,2677
N,-1,MxW_I,0.4202715421726506,0.5140383878010428,0.41522653588815706,2677
N,-1,W_F,-2.307099500661996,0.8538365724980644,0.007898957558091805,2677
N,-1,W_T,6.397923724969474,1.697803906125138,0.00025713387900457436,2677
N,-1,W_I,-1.3917672200748916,0.7114784335609043,0.05278903484478835,2677
N,-1,infl_z,-2.4715572862312554,1.1317581345650112,0.030937113200595844,2677
N,-1,gov_eff_z,-1.2832272150619233,2.258776811299029,0.5710326344916367,2677
N,0,M_z,-0.5452648279776875,0.6871147334665658,0.42903276141867525,2690
N,0,MxW_F,-0.362268619833904,0.4885023818479187,0.4597966750862114,2690
N,0,MxW_T,1.0814221310543843,0.7810772576646291,0.1687879493220335,2690
N,0,MxW_I,0.6711808243455069,0.5261403505165482,0.20455715417350806,2690
N,0,W_F,-1.2298502989583815,0.720806704225032,0.09057680554689738,2690
N,0,W_T,8.033944230579745,1.7689853394205601,1.3471768138932076e-05,2690
N,0,W_I,-0.9399862927514828,0.7038214123418306,0.18424639608891322,2690
N,0,infl_z,-2.5152477420856334,0.9490514312445114,0.009136226494804934,2690
N,0,gov_eff_z,-1.6781356049145841,2.3141996210443274,0.46978520981098576,2690
N,0,growth_lag,0.021727787404219538,0.33060433905384734,0.947709900422009,2690
N,1,M_z,-1.1162178371113192,1.4173176624292683,0.4325219750274165,2574
N,1,MxW_F,-0.6119905191285241,1.179157875144343,0.6047201354080186,2574
N,1,MxW_T,2.1261776695811827,1.4068659926533458,0.1333664576435222,2574
N,1,MxW_I,1.0193343928723053,1.150247980240408,0.3773043043442003,2574
N,1,W_F,-0.6655345772229615,1.5073097704046818,0.6596248083102356,2574
