q0.1,q0.25,q0.5,q0.75,q0.9
-1.1450569973449494,-1.1521151971436303,-0.9868038799670249,-1.4696456469778316,-1.6445888907217772
-1.5059414307801393,-1.4645923443204107,-1.316739739479461,-1.4959893819723318,-1.8173282028508424
-0.8943456679530648,-0.585161821828934,-0.5146543585465598,-0.5352328425951698,-0.7667224249135104
-0.2403192967520034,-0.08345500951688184,-0.01994304654278695,0.14337595014753762,-0.19897372362931337
0.31221633553092387,0.0839002372727722,0.2072477587475001,0.047022222680690305,-0.061963118789271285
0.20391724241109302,-0.48973911681813714,-0.8306551288794174,-1.3023597416041857,-1.3918835330601163
-0.66643649201362,-1.0871350927822454,-0.6903352045137884,-0.7711168972880996,-0.8940805825316515
-0.2751489478879485,0.017222500813167542,0.17226965962346835,0.0005516366194358713,-0.09015889567247667
-0.11344049212295904,-0.21199934198967396,-0.37876080004245566,-0.38822215030130924,-0.7285758585480009
-0.04449891094999087,-0.3885364614124678,-0.5931113223174452,-0.6951761448555848,-0.9571810859026363
-0.49052758923182294,-0.2950029665178329,-0.10310681163069764,-0.30578162630489697,-0.4832784653386092
-0.01377871200625886,-0.5431763471389649,-0.466321800708089,-0.7632906884511246,-0.8567776882091918
-0.6234738489797167,-0.6347834359810245,-0.545351162743592,-0.5074836654015344,-0.7842623168139166
-1.095161449865163,-1.1642541671423823,-1.0024493246717068,-1.0001204394512349,-1.2555098470817394
-1.1331902146723087,-0.9269873312001438,-0.976309464308342,-1.6237124996802075,-1.541568140210917
0.4424221899592322,-0.015447293251620337,-0.4008889876750144,-0.6606095567077257,-0.9874058440624188
-0.9198494824231603,-0.80179244912489,-0.7165875562471279,-0.8975502016524017,-0.8703580468554857
0.8501035216185318,0.6506973245080366,0.8822644409854538,0.7961837907229671,0.7133529596539576
-0.66238136837799,-0.42370346792149277,-0.1762316957774074,-0.44876645512261154,-0.3911131080363638
-1.440030922951582,-1.140766349986493,-0.8084254128274303,-0.9027061962747082,-0.9579382112411172
-1.8801250933351323,-1.624293845606016,-1.5499368549454031,-1.4713400273520645,-1.551639662269387
0.10863605107914406,0.42114299088722146,0.6092384039415457,0.4348737014722018,0.16916721306481108
-1.0974427433313432,-0.6918639868116561,-0.3988559278671085,-0.5708057872616049,-0.7296294437518831
-0.7178779291106984,-0.9967791753218731,-0.5841024712520967,-0.7845608292744203,-0.8834519331481887
-1.3781195481440565,-1.1901841286535209,-1.1615476233995956,-1.1649727050979266,-1.103103955404479
-0.6602634046408451,-0.5802206957972499,-0.4121996583170802,-0.39455800292811527,-0.4803211731817591
-0.13267776868895215,-0.552360229500752,-0.6432317221148722,-0.8219743749698568,-0.8577347007310703
