channel,h,var,coef,se,p,n,countries,cov_M_F,specification
T,2,W_I,3.0759708228420064,4.130525345635692,0.45796374208360513,1005,117,-0.7376711767968729,no_fill
T,2,infl_z,0.65649957075732,1.1706370230715315,0.5760118451653156,1005,117,-0.7376711767968729,no_fill
T,2,gov_eff_z,-3.0022041706210807,3.653928591037997,0.412968867814571,1005,117,-0.7376711767968729,no_fill
T,2,growth_lag,-0.17588684728815462,0.21474489407619649,0.41443731687159435,1005,117,-0.7376711767968729,no_fill
T,2,lgdp_pc,-10.121262860433548,12.273895468475427,0.411281505083411,1005,117,-0.7376711767968729,no_fill
T,2,outcome_lag,-0.24630393124420338,0.06660364358258938,0.0003334223741232403,1005,117,-0.7376711767968729,no_fill
F,1,M_z,1.1058715516591926,0.6224713805339194,0.07823599507083033,1069,118,0.1312872351531482,no_fill
F,1,MxW_F,0.6887434077997946,0.33565445268280664,0.042406965477656135,1069,118,0.1312872351531482,no_fill
F,1,MxW_T,-0.04210399661494213,0.6520715228133686,0.9486268836694667,1069,118,0.1312872351531482,no_fill
F,1,MxW_I,-0.5094546981215506,0.4570916368840814,0.26732454341720696,1069,118,0.1312872351531482,no_fill
F,1,W_F,-3.513230208057919,0.44991836048834366,2.7275420104622295e-12,1069,118,0.1312872351531482,no_fill
F,1,W_T,-2.0641931343065716,1.3337344420327797,0.12440024763991762,1069,118,0.1312872351531482,no_fill
F,1,W_I,-0.08235693427941365,0.8045197423787205,0.9186399648320467,1069,118,0.1312872351531482,no_fill
F,1,infl_z,0.49083632472687866,0.24086283950709966,0.043822665826159415,1069,118,0.1312872351531482,no_fill
F,1,gov_eff_z,0.7851372784374204,1.5228134014961279,0.6071182964354772,1069,118,0.1312872351531482,no_fill
F,1,growth_lag,-0.3044029013972721,0.09310588895471746,0.0014155619053798994,1069,118,0.1312872351531482,no_fill
F,1,lgdp_pc,-8.883874663740936,3.729495424118405,0.01882858280859318,1069,118,0.1312872351531482,no_fill
F,2,M_z,1.7278616089937935,0.8752453285521589,0.05074191823467653,1007,117,0.23552734577232243,no_fill
F,2,MxW_F,1.3371103507506963,0.4218423905889435,0.0019518272069035457,1007,117,0.23552734577232243,no_fill
F,2,MxW_T,-0.533672262305477,0.9085663351754427,0.5580911796131461,1007,117,0.23552734577232243,no_fill
F,2,MxW_I,-0.7406228033723632,0.6409351479953542,0.25024611432001215,1007,117,0.23552734577232243,no_fill
