phi,M,branch,stable
1.11,0.9980124337750031,high,True
1.12,0.0015766129781001478,low,True
1.12,0.6049355622474152,middle,False
1.12,0.9981163975542133,high,True
1.1300000000000001,0.001483948376636075,low,True
1.1300000000000001,0.6048814147670851,middle,False
1.1300000000000001,0.9982148892594324,high,True
1.1400000000000001,0.0013967347888628936,low,True
1.1400000000000001,0.6048284432164477,middle,False
1.1400000000000001,0.9983081999283528,high,True
1.1500000000000001,0.0013146511451013546,low,True
1.1500000000000001,0.6047766096762021,middle,False
1.1500000000000001,0.9983966048556226,high,True
1.16,0.0012373953203704074,low,True
1.16,0.6047258778410864,middle,False
1.16,0.998480364467118,high,True
1.17,0.0011646830142454851,low,True
1.17,0.6046762129348507,middle,False
1.17,0.9985597251437558,high,True
1.18,0.0010962466970492447,low,True
1.18,0.6046275816305497,middle,False
1.18,0.9986349199979102,high,True
1.19,0.0010318346184518576,low,True
1.19,0.6045799519757752,middle,False
1.19,0.9987061696053081,high,True
1.2,0.0009712098747880583,low,True
1.2,0.604533293322473,middle,False
1.2,0.9987736826950844,high,True
1.21,0.0009141495316145299,low,True
1.21,0.6044875762610175,middle,False
1.21,0.9988376568005158,high,True
1.22,0.0008604437982355265,low,True
1.22,0.604442772558249,middle,False
1.22,0.9988982788727807,high,True
1.23,0.0008098952511171434,low,True
1.23,0.6043988550991949,middle,False
1.23,0.998955725859948,high,True
1.24,0.0007623181032922959,low,True
1.24,0.604355797832225,middle,False
1.24,0.9990101652532596,high,True
1.25,0.0007175375170293023,low,True
1.25,0.6043135757174033,middle,False
1.25,0.9990617556026382,high,True
1.26,0.0006753889571984416,low,True
1.26,0.6042721646778242,middle,False
1.26,0.9991106470032335,high,True
1.27,0.00063571758292224,low,True
1.27,0.6042315415537326,middle,False
1.27,0.999156981554704,high,True
1.28,0.0005983776752384471,low,True
1.28,0.6041916840592414,middle,False
1.28,0.9992008937948278,high,True
1.29,0.0005632320986392233,low,True
1.29,0.6041525707414823,middle,False
1.29,0.9992425111089407,high,True
1.3,0.000530151794476476,low,True
1.3,0.6041141809420236,middle,False
1.3,0.9992819541165999,high,True
1.31,0.0004990153043430014,low,True
1.31,0.6040764947604168,middle,False
1.31,0.9993193370367942,high,True
1.32,0.00046970832165076445,low,True
1.32,0.604039493019732,middle,False
1.32,0.9993547680329338,high,True
1.33,0.0004421232697338043,low,True
1.33,0.6040031572339576,middle,False
1.33,0.9993883495387862,high,True
1.34,0.0004161589049021367,low,True
1.34,0.603967469577149,middle,False
1.34,0.9994201785664454,high,True
1.35,0.0003917199429669046,low,True
1.35,0.6039324128542141,middle,False
1.35,0.9994503469973626,high,True
1.36,0.00036871670784474066,low,True
1.36,0.60389797047324,middle,False
1.36,0.9994789418574005,high,True
1.37,0.0003470648009321578,low,True
1.37,0.6038641264192633,middle,False
1.37,0.9995060455768227,high,True
1.3800000000000001,0.6038308652293974,low,False
1.3800000000000001,0.9995317362360637,high,True
1.3900000000000001,0.6037981719692377,low,False
1.3900000000000001,0.9995560877980898,high,True
1.4000000000000001,0.6037660322104647,low,False
1.4000000000000001,0.9995791703280983,high,True
1.41,0.6037344320095795,low,False
1.41,0.9996010502012722,high,True
1.42,0.6037033578877019,low,False
1.42,0.9996217902992546,high,True
1.43,0.6036727968113698,low,False
1.43,0.9996414501959747,high,True
1.44,0.6036427361742847,low,False
1.44,0.9996600863334187,high,True
1.45,0.6036131637799478,low,False
1.46,0.6035840678251356,low,False
1.47,0.6035554368841701,low,False
1.48,0.6035272598939377,low,False
1.49,0.6034995261396158,low,False
1.5,0.6034722252410696,low,False
1.51,0.6034453471398808,low,False
1.52,0.6034188820869755,low,False
1.53,0.603392820630819,low,False
1.54,0.6033671536061469,low,False
1.55,0.6033418721232052,low,False
1.56,0.6033169675574721,low,False
1.57,0.6032924315398357,low,False
1.58,0.6032682559472069,low,False
1.59,0.6032444328935421,low,False
1.6,0.6032209547212566,low,False
