channel,h,var,coef,se,p,n,countries,cov_M_F
G,1,MxW_T,0.12471686190123393,0.6001535579442536,0.8357309574555786,1642,121,-0.01914718982197676
G,1,MxW_I,-0.8408708025777039,0.4678030322060664,0.07477282492408666,1642,121,-0.01914718982197676
G,1,W_F,1.1304225559740093,0.3184069111396159,0.0005506374919754251,1642,121,-0.01914718982197676
G,1,W_T,4.785323840483861,1.1526882297530288,6.209277053330701e-05,1642,121,-0.01914718982197676
G,1,W_I,0.24912359631313447,0.6325003571187956,0.6943752311648433,1642,121,-0.01914718982197676
G,1,infl_z,-1.526965001012192,0.39632356979718786,0.0001889582710782837,1642,121,-0.01914718982197676
G,1,gov_eff_z,-2.2918675459738544,0.9002448901995954,0.012168619535268977,1642,121,-0.01914718982197676
G,1,growth_lag,-0.11079965673857706,0.08298108669808894,0.18432524226986274,1642,121,-0.01914718982197676
G,1,lgdp_pc,4.484452132690498,2.445050534200222,0.06911765149384992,1642,121,-0.01914718982197676
G,2,M_z,-1.5244980395700634,0.7321187960330685,0.03943905369795272,1539,121,0.00039850492905579344
G,2,MxW_F,-0.9430783366312444,0.2888594901966236,0.0014275455660243503,1539,121,0.00039850492905579344
G,2,MxW_T,0.16660559577051343,0.8892522892824408,0.8516989517822697,1539,121,0.00039850492905579344
G,2,MxW_I,-1.3013908481767482,0.589230762930097,0.02910016306391578,1539,121,0.00039850492905579344
G,2,W_F,1.48681900716596,0.4010905588114082,0.00031883550542833873,1539,121,0.00039850492905579344
G,2,W_T,6.753016628491481,1.6557953225124091,8.19337822920861e-05,1539,121,0.00039850492905579344
G,2,W_I,0.12285148968981523,0.8742851652387492,0.8884875135783967,1539,121,0.00039850492905579344
G,2,infl_z,-0.7121679966804078,0.3996266774317261,0.07726474758451309,1539,121,0.00039850492905579344
G,2,gov_eff_z,-2.3140814386978157,1.2596915713104881,0.06868102735372313,1539,121,0.00039850492905579344
G,2,growth_lag,-0.1675891167090092,0.09973590204599697,0.09549476817282551,1539,121,0.00039850492905579344
G,2,lgdp_pc,-3.7149460993010184,3.3567156224013974,0.2706284139697257,1539,121,0.00039850492905579344
G,3,M_z,-1.4010418485847007,0.9259154189111958,0.13294011180624013,1434,118,0.02221902142872985
